claim,required_reannotation,label,justification,claim_date,speaker,original_claim_url,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies,questions,cached_original_claim_url
People with no recourse to public funds are not yet able to claim free school meal vouchers in the UK,FALSE,Conflicting Evidence/Cherrypicking,"Some can claim free school meals, and some can't. ",17/6/20,Stephen Timms,https://web.archive.org/web/20200811194914/https://parliamentlive.tv/event/index/b11b4244-a399-4a12-8a64-1ad09a77804b?in=12:26:46&out=12:27:14,https://web.archive.org/web/20200814144354/https://fullfact.org/education/free-school-meals-no-recourse-public-funds/,,GB,['Event/Property Claim'],['Written Evidence'],"[{'question': 'What does ""no recourse to public funds"" mean?', 'answers': [{'answer': 'No recourse to public funds (NRPF) is a standard condition applied to those staying here with a temporary immigration status to protect public funds. Indefinite Leave to Remain (ILR) is set as the general threshold for permitting migrants to access public funds. Migrants who are here without leave are also subject to no recourse to public funds. Therefore, most migrants do not have access to public funds as a matter of course.', 'answer_type': 'Extractive', 'source_url': 'https://homeofficemedia.blog.gov.uk/2020/05/05/no-recourse-to-public-funds-nrpf/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510130847/https://homeofficemedia.blog.gov.uk/2020/05/05/no-recourse-to-public-funds-nrpf/'}]}, {'question': 'During the pandemic do children from NRPF groups have access to free school meals?', 'answers': [{'answer': 'Some of them do:-\nDuring the coronavirus (COVID-19) outbreak, we are temporarily extending free school meal eligibility to include some children of groups who have no recourse to public funds (NRPF).\n\nThese groups are:\n\nchildren of Zambrano carers\nchildren of families with no recourse to public funds with a right to remain in the UK on grounds of private and family life under Article 8 of the European Convention on Human Rights\nchildren of families receiving support under Section 17 of the Children Act 1989 who are also subject to a no recourse to public funds restriction', 'answer_type': 'Abstractive', 'source_url': 'https://www.gov.uk/government/publications/covid-19-free-school-meals-guidance/guidance-for-the-temporary-extension-of-free-school-meals-eligibility-to-nrpf-groups', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510130937/https://www.gov.uk/government/publications/covid-19-free-school-meals-guidance/guidance-for-the-temporary-extension-of-free-school-meals-eligibility-to-nrpf-groups'}]}]",https://web.archive.org/web/20200811194914/https://parliamentlive.tv/event/index/b11b4244-a399-4a12-8a64-1ad09a77804b?in=12:26:46&out=12:27:14
"Donald Trump made Juneteenth ""very famous,"" as he described in a Wall Street Journal interview June 17, 2020. Prior to him planning a rally on June 19, ""nobody had ever heard of it.""",TRUE,Refuted,"it's clear from the answers that Juneteenth had been famous for a very long time, prior to Donald Trump",17/6/20,Donald Trump,https://www.wsj.com/articles/trump-talks-juneteenth-john-bolton-economy-in-wsj-interview-11592493771,https://web.archive.org/web/20210123023700/https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,Wall Street Journal,US,"['Causal Claim', 'Event/Property Claim']","['Written Evidence', 'Consultation']","[{'question': 'What is Jointh?', 'answers': [{'answer': 'The tradition started in 1866 in Texas and spread to nearby states.\n\nThe Civil Rights movement infused Juneteenth with new energy.\n\nToday, 47 states recognize the day.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210123023700/https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/#sources', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210123023700/https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/#sources'}]}, {'question': 'What is Juneteenth?', 'answers': [{'answer': 'The tradition started in 1866 in Texas and spread to nearby states.\n\nThe Civil Rights movement infused Juneteenth with new energy.\n\nToday, 47 states recognize the day.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210123023700/https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/#sources', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210123023700/https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/#sources'}, {'answer': 'Juneteenth is a holiday commemorating the freedom of the slaves in the United States. The name Juneteenth is a combination of the words June and nineteenth. The day is also called Emancipation Day and Freedom Day.', 'answer_type': 'Extractive', 'source_url': 'https://www.goldenwestcollege.edu/rising/juneteenth/index.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510131338/https://www.goldenwestcollege.edu/rising/juneteenth/index.html'}]}, {'question': 'Where does Juneteenth stem from?', 'answers': [{'answer': 'Juneteenth is the oldest known celebration of African American freedom, marking the ending of slavery in the U.S. \nIt commemorates the week in June 1865 that Major Gen. Gordon Granger led the Union soldiers to Galveston, Texas, declaring the war was over and the enslaved could go free. \nWhile President Lincoln’s Emancipation Proclamation officially freed slaves more than two years earlier, it was the surrender of General Lee in April 1865 and Granger’s arrival with the troops that created a force strong enough to overcome Texas’ resistance to the executive order to free slaves. \nThe culmination of Granger’s trip led to his June 19 reading of the proclamation, coined as “Juneteenth” — the day the freed slaves and their families recounted memories, reassured each other of a newly-promised future and gathered in prayer.', 'answer_type': 'Extractive', 'source_url': 'https://www.mlive.com/entertainment/flint/2010/06/the_story_behind_juneteenth_th.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510131518/https://www.mlive.com/entertainment/flint/2010/06/the_story_behind_juneteenth_th.html'}]}, {'question': 'Do Americans know about Juneteenth?', 'answers': [{'answer': 'Today, if Americans have any knowledge at all about commemorations of the end of U.S. slavery, their reference point is generally Juneteenth.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210308041205/https://blog.oup.com/2007/06/juneteenth/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210308041205/https://blog.oup.com/2007/06/juneteenth/'}]}, {'question': 'When did Juneteenth first become a state holiday?', 'answers': [{'answer': 'In 1980, Texas became the first state to recognize June 19 as a state holiday, which it did with legislation.', 'answer_type': 'Extractive', 'source_url': 'https://www.nationalgeographic.com/culture/article/juneteenth', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230430023218/https://www.nationalgeographic.com/culture/article/juneteenth'}]}, {'question': 'Is Juneteenth recognized as a state holiday in other U.S. states?', 'answers': [{'answer': 'As of 2020, 48 states and the District of Columbia have passed legislation recognizing Juneteenth as a state holiday or as a day of observance.', 'answer_type': 'Abstractive', 'source_url': 'https://sgp.fas.org/crs/misc/R44865.pdf', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230430060505/https://sgp.fas.org/crs/misc/R44865.pdf'}]}, {'question': 'When did Juneteenth become prominent within U.S. states?', 'answers': [{'answer': ""The annual celebration began to spread throughout Texas and surrounding states. However, it became less popular in the early 1900's. It became popular once again in the 1950's and 1960's. In 1980 it became an official state holiday in Texas. There is currently a movement to get the day recognized on a national level."", 'answer_type': 'Extractive', 'source_url': 'https://www.goldenwestcollege.edu/rising/juneteenth/index.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510131338/https://www.goldenwestcollege.edu/rising/juneteenth/index.html'}]}]",https://web.archive.org/web/20230430060503/https://www.wsj.com/articles/trump-talks-juneteenth-john-bolton-economy-in-wsj-interview-11592493771
"US House Speaker Nancy Pelosi violated a military tradition when she gave a folded US flag to the brother of George Floyd, who was killed in police custody in Minneapolis in late May 2020.",TRUE,Refuted,"Q&A 1 confirms the event in the claim happened, Q&A 2 state it has happened before on more than one occasion,
Q&A 3 state no answer to see of it is against rules but this is moot as the claim doesn't say a rule was broken, only tradition, ",15/6/20,Jamie White,https://www.infowars.com/pelosi-gifts-george-floyds-brother-folded-american-flag-reserved-only-for-fallen-veterans/,https://web.archive.org/web/20210702173630/https://www.factcheck.org/2020/06/gifting-a-folded-flag-isnt-only-for-fallen-veterans/,InfoWars,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']","[{'question': 'When did Pelosi Gift a Folded flag to George Floyds Brother?', 'answers': [{'answer': 'June 10th 2020', 'answer_type': 'Abstractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'Has a folded flag been gifted to any non military personnel prior to June 10th  2020?', 'answers': [{'answer': 'Yes, United States Congressman Dennis Ross gave an American Flag flown over the Capitol in honour of the new school during a grand opening ceremony for Citrus Ridge: A Civics Academy in Davenport, Fl on Friday December 9, 2016.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210814105334/https://www.theledger.com/photogallery/LK/20161209/PHOTOGALLERY/120909993/PH/1', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210814105334/https://www.theledger.com/photogallery/LK/20161209/PHOTOGALLERY/120909993/PH/1'}, {'answer': 'Yes on Friday 15th December 2018 Republican Rep. Roger Williams of Texas gifted two folded, encased flags from the Capitol to two new schools in his district the first being \nRoy J. Smith Middle School and the second being Alice W. Douse Elementary School, both in Killeen', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210324065213/https://kdhnews.com/news/education/this-gift-represents-our-country-flags-flown-at-u-s-capitol-arrive-in-killeen/article_38434f74-e204-11e7-924f-934f3a3b5714.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210324065213/https://kdhnews.com/news/education/this-gift-represents-our-country-flags-flown-at-u-s-capitol-arrive-in-killeen/article_38434f74-e204-11e7-924f-934f3a3b5714.html'}]}, {'question': 'Is there rules against gifting a U.S. flag?', 'answers': [{'answer': 'No answer could be found.', 'answer_type': 'Unanswerable', 'source_url': '', 'source_medium': ''}]}, {'question': 'Has a US flag ever been given as a gift by a member of Congress before?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210814105334/https://www.theledger.com/photogallery/LK/20161209/PHOTOGALLERY/120909993/PH/1', 'source_medium': 'Web text', 'boolean_explanation': 'United States Congressman Dennis Ross gave an American Flag flown over the Capitol in honor of the new school during a grand opening ceremony for Citrus Ridge: A Civics Academy in Davenport, Fl on Friday December 9, 2016.', 'cached_source_url': 'https://web.archive.org/web/20210814105334/https://www.theledger.com/photogallery/LK/20161209/PHOTOGALLERY/120909993/PH/1'}, {'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210324065213/https://kdhnews.com/news/education/this-gift-represents-our-country-flags-flown-at-u-s-capitol-arrive-in-killeen/article_38434f74-e204-11e7-924f-934f3a3b5714.html', 'source_medium': 'Web text', 'boolean_explanation': 'First at Roy J. Smith Middle School and then at Alice W. Douse Elementary School, both in Killeen, field representative Don Nicholas of U.S. Rep. Roger Williams’ office made delivery of folded, cased flags to the schools.\n\nThe flags each flew over the U.S. Capitol building on Sept. 11. An official certificate verified the flags’ authenticity.', 'cached_source_url': 'https://web.archive.org/web/20210324065213/https://kdhnews.com/news/education/this-gift-represents-our-country-flags-flown-at-u-s-capitol-arrive-in-killeen/article_38434f74-e204-11e7-924f-934f3a3b5714.html'}]}, {'question': 'Is the gift of folded U.S. flags only for fall veterans?', 'answers': [{'answer': 'There is no mention of this in the United States Flag Code.', 'answer_type': 'Abstractive', 'source_url': 'https://en.wikipedia.org/wiki/United_States_Flag_Code', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230430025838/https://en.wikipedia.org/wiki/United_States_Flag_Code'}]}]",
"President Donald Trump’s re-election campaign is seeking “MINORITY Actors” to hold signs at his June 20 rally in Tulsa, Oklahoma.",FALSE,Not Enough Evidence,The question and answers below do not give any evidence to support or refute the claim so there is not enough evidence.,14/6/20,,https://web.archive.org/web/20201206172156/https://web.archive.org/web/20200615013704/https://tulsa.craigslist.org/tlg/d/tulsa-actors-needed-june-20/7141828474.html,https://web.archive.org/web/20210712010407/https://www.factcheck.org/2020/06/trump-campaign-didnt-advertise-for-minority-actors-in-tulsa/,Craigslist,US,['Position Statement'],['Written Evidence'],"[{'question': 'Did the Trump campaign make posts on craigslist for support', 'answers': [{'answer': 'No answer could be found.', 'answer_type': 'Unanswerable', 'source_url': '', 'source_medium': ''}]}, {'question': 'When did the Trump rally in Tulsa hold', 'answers': [{'answer': 'It finally held on June 20 after being initially scheduled for June 19', 'answer_type': 'Abstractive', 'source_url': 'https://www.nbcnews.com/politics/politics-news/trump-delays-tulsa-rally-had-been-planned-juneteenth-n1230991', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230417095609/https://www.nbcnews.com/politics/politics-news/trump-delays-tulsa-rally-had-been-planned-juneteenth-n1230991'}]}]",https://web.archive.org/web/20201206172156/https://web.archive.org/web/20200615013704/https://tulsa.craigslist.org/tlg/d/tulsa-actors-needed-june-20/7141828474.html
Actor Matt Damon was planning on leaving the United States for Australia to get away from President Trump.,FALSE,Refuted,"Evidence confirms that Matt Damon is not planning to move to Australia and currently resides in Los Angeles, California. Hence, the claim is refuted. ",14/6/20,,https://web.archive.org/web/20200616192135/https://wnewsstudio.com/someone-did-it-liberal-matt-damon-plans-to-leave-us-for-australia-to-get-away-from-trump/,https://web.archive.org/web/20200916235556/https://leadstories.com/hoax-alert/2020/06/fact-check-matt-damon-not-leaving-us-for-australia-to-get-away-from-trump.html,West News Studio,US,['Event/Property Claim'],['Fact-checker Reference'],"[{'question': 'When was this claim made?', 'answers': [{'answer': '14/06/2020', 'answer_type': 'Extractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'When was this claim first reported?', 'answers': [{'answer': '15/03/2018', 'answer_type': 'Extractive', 'source_url': 'https://pagesix.com/2018/03/15/matt-damon-moving-family-to-australia-because-of-trump/?_ga=2.40792994.1852433949.1521134911-1876752281.1497557429', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510134445/https://pagesix.com/2018/03/15/matt-damon-moving-family-to-australia-because-of-trump/?_ga=2.40792994.1852433949.1521134911-1876752281.1497557429'}]}, {'question': 'Did Matt Damon respond to this claim?', 'answers': [{'answer': 'But Damon spokeswoman Jennifer Allen told the Associated Press that while Damon had visited Australia a lot recently he had not bought a home there.\n\nAllen, who repeatedly ignored requests for comment from Page Six, told the Associated Press, “He’s not moving out of the U.S.” She did not comment about Damon’s feelings about the president.', 'answer_type': 'Extractive', 'source_url': 'https://pagesix.com/2018/03/15/matt-damon-moving-family-to-australia-because-of-trump/?_ga=2.40792994.1852433949.1521134911-1876752281.1497557429', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510134445/https://pagesix.com/2018/03/15/matt-damon-moving-family-to-australia-because-of-trump/?_ga=2.40792994.1852433949.1521134911-1876752281.1497557429'}]}, {'question': 'Where was Matt Damon living in June 2020?', 'answers': [{'answer': 'Los Angeles', 'answer_type': 'Extractive', 'source_url': 'https://people.com/celebrity/star-tracks-monday-june-1-2020/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510134637/https://people.com/celebrity/star-tracks-monday-june-1-2020/'}]}]",https://web.archive.org/web/20200616192135/https://wnewsstudio.com/someone-did-it-liberal-matt-damon-plans-to-leave-us-for-australia-to-get-away-from-trump/
Milwaukee health department declared racism as a public health crisis in 2019.,FALSE,Supported,A Q&A confirming that the person quoted is an official representative of the health department would assist to verify this claim.,14/6/20,Jeanette Kowalil,https://www.wisn.com/article/upfront-recap-wisconsin-lawmakers-debate-justice-in-policing-act/32858861,https://web.archive.org/web/20210618115911/https://www.politifact.com/factchecks/2020/jun/18/jeanette-kowalik/milwaukee-was-among-first-declare-racism-public-he/,WISN-TV,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'In 2019, Did the  Milwaukee health department officially declare racism as a public health crisis ?', 'answers': [{'answer': 'Yes on May 20th 2019.', 'answer_type': 'Abstractive', 'source_url': 'https://eu.jsonline.com/story/news/local/milwaukee/2019/05/20/abele-signs-resolution-declaring-racism-public-health-crisis/3741809002/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510134740/https://www.jsonline.com/story/news/local/milwaukee/2019/05/20/abele-signs-resolution-declaring-racism-public-health-crisis/3741809002/'}]}]",https://web.archive.org/web/20230510134714/https://e.infogram.com/d20e9de7-6e17-4bbd-91f0-e4a2aac98a51?parent_url=https%3A%2F%2Fwww.wisn.com%2Farticle%2Fwait-what-happened-take-this-unbelievable-news-quiz-that-includes-some-animals-going-wild%2F43533947&amp;src=embed
Milwaukee declared racism as a public health crisis in 2019.,FALSE,Supported,Milwauke declared racism as public health crisis in May 2019 ,14/6/20,Jeanette Kowalik,https://www.wisn.com/article/upfront-recap-wisconsin-lawmakers-debate-justice-in-policing-act/32858861,https://web.archive.org/web/20210618115911/https://www.politifact.com/factchecks/2020/jun/18/jeanette-kowalik/milwaukee-was-among-first-declare-racism-public-he/,WISN-TV,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Did Milwaukee declared racism as a public health crisis in 2019?', 'answers': [{'answer': 'Officials signed the ordinance one year after Milwaukee County passes a first-of-kind resolution declaring racism as a public health crisis in May 2019.', 'answer_type': 'Extractive', 'source_url': 'https://www.racialequityalliance.org/2020/05/26/milwaukee-county-passes-ordinance-on-racial-equity/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510134829/https://www.racialequityalliance.org/2020/05/26/milwaukee-county-passes-ordinance-on-racial-equity/'}]}, {'question': 'Why did Milwaukee declare racism as a public health crisis in 2019 ?', 'answers': [{'answer': 'Milwaukee, both the city and county, passed resolutions last summer that were seen as important steps in addressing decades of race-based inequality.\n\n“We declared racism as a public health issue,” said Kowalik, the city’s health commissioner. “It frames not only how we do our work but how transparent we are about how things are going. It impacts how we manage an outbreak', 'answer_type': 'Extractive', 'source_url': 'https://www.propublica.org/article/early-data-shows-african-americans-have-contracted-and-died-of-coronavirus-at-an-alarming-rate', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510051941/https://www.propublica.org/article/early-data-shows-african-americans-have-contracted-and-died-of-coronavirus-at-an-alarming-rate'}]}]",https://web.archive.org/web/20230510134702/https://www.wisn.com/article/upfront-recap-wisconsin-lawmakers-debate-justice-in-policing-act/32858861
The Daughters of the Confederacy sued NASCAR for violating the First Amendment.,FALSE,Refuted,"This claim is from a satirical article written by a known network of satire websites. Once the user clicks on the story -- instead of just sharing the thumbnail and headline -- they will find a website littered in satire disclaimers. Other websites, however, steal the story and republish without the satire labels",13/6/20,Harry Helmet,https://web.archive.org/web/20200903000207/https://bustatroll.org/2020/06/13/dont-gas-me-bro/,https://web.archive.org/web/20200903000207/https://leadstories.com/hoax-alert/2020/06/fact-check-daughters-of-the-confederacy-group-did-not-sue-nascar-for-violating-1st-amendment.html,bustatroll.org,US,['Event/Property Claim'],"['Written Evidence', 'Satirical Source Identification']","[{'question': 'Where was this claim published?', 'answers': [{'answer': 'bustaroll.org', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20200910145412/https://bustatroll.org/2020/06/13/dont-gas-me-bro/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20200910145412/https://bustatroll.org/2020/06/13/dont-gas-me-bro/'}]}, {'question': 'What is bustaroll?', 'answers': [{'answer': 'The site is no longer online but it was a satire website.', 'answer_type': 'Abstractive', 'source_url': 'https://mediabiasfactcheck.com/bustatroll-org/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510135453/https://mediabiasfactcheck.com/bustatroll-org/'}]}]",https://web.archive.org/web/20200903000207/https://bustatroll.org/2020/06/13/dont-gas-me-bro/
North Korea cancels all communication with South Korea.,FALSE,Supported,The answers and sources show that communication was stopped so the claim is supported.,9/6/20,"Alexander Smith, Yuliya Talmazan",https://web.archive.org/web/20210721130549mp_/https://www.nbcnews.com/news/world/north-korea-says-it-has-severed-all-communication-south-korea-n1228146,https://web.archive.org/web/20210721130549/https://misbar.com/en/factcheck/2020/06/10/has-north-korea-severed-all-communication-with-south-korea,NBC News,KP,['Event/Property Claim'],['Written Evidence'],"[{'question': 'What is the date of the claim?', 'answers': [{'answer': 'June 9th 2020', 'answer_type': 'Extractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'Did North Korea declare it was cutting communication with South Korea around June 2020?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210722054124/https://www.nbcnews.com/news/world/north-korea-says-it-has-severed-all-communication-south-korea-n1228146', 'source_medium': 'Web text', 'boolean_explanation': 'North Korea announced around the 9th of June that North Korea said it was suspending contact in anger at activist defectors who have fled to the South', 'cached_source_url': 'https://web.archive.org/web/20210722054124/https://www.nbcnews.com/news/world/north-korea-says-it-has-severed-all-communication-south-korea-n1228146'}]}, {'question': 'Did North Korea actually stop communicating with South Korea as it announced it would?', 'answers': [{'answer': 'South Korea confirmed that North Korea did not answer its military hotline for the first time since it was restored in 2018, according to a defense ministry spokeswoman.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210421134909mp_/https://survivalupdate.com/north-korea-has-severed-all-communication-with-south-korea/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210421134909mp_/https://survivalupdate.com/north-korea-has-severed-all-communication-with-south-korea/'}]}]",https://web.archive.org/web/20210721130549mp_/https://www.nbcnews.com/news/world/north-korea-says-it-has-severed-all-communication-south-korea-n1228146
"The Federal Police did not use chemical irritants to clear the area around St. John's Church in Washington, D.C.",FALSE,Refuted,The first answer and source shows that pepper balls were used by the police so chemical irritants were used. The source is reputable and trustworthy.,7/6/20,William Barr,https://www.cbsnews.com/news/bill-barr-george-floyd-protests-blm-face-the-nation-transcript/,https://web.archive.org/web/20210308133630/https://www.politifact.com/factchecks/2020/jun/08/william-barr/barr-says-federal-police-didnt-use-chemical-irrita/,CBS News,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Did the Federal Police use chemical irritants to clear the area by DC church?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210308115721/https://www.nps.gov/subjects/uspp/6_2_20_statement_from_acting_chief_monahan.htm', 'source_medium': 'Web text', 'boolean_explanation': 'They used pepper balls.', 'cached_source_url': 'https://web.archive.org/web/20210308115721/https://www.nps.gov/subjects/uspp/6_2_20_statement_from_acting_chief_monahan.htm'}]}, {'question': 'How is a pepper ball used by the Police?', 'answers': [{'answer': 'A pepper ball is typically a projectile filled with pepper spray, usually launched from a device similar to a pistol. Police often carry them on their utility belts. According to a company that manufactures pepper balls, they are designed to create a 12-foot cloud with an irritant designed to affect the eyes, nose and throat of the people who are hit by the cloud.', 'answer_type': 'Extractive', 'source_url': 'https://www.whio.com/news/local/what-are-pepper-balls-used-police-disperse-students/2uiSBgUySxwuXgOJ5VjkOJ/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230510143159/https://www.whio.com/news/local/what-are-pepper-balls-used-police-disperse-students/2uiSBgUySxwuXgOJ5VjkOJ/'}]}, {'question': 'What does a pepper ball contain?', 'answers': [{'answer': '...highly irritating\npepper powder.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210327211057/https://oig.justice.gov/reports/plus/e0903/final.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20210327211057/https://oig.justice.gov/reports/plus/e0903/final.pdf'}]}]",https://web.archive.org/web/20230423145545/https://www.cbsnews.com/news/bill-barr-george-floyd-protests-blm-face-the-nation-transcript/
Wastewater can be an early indicator for a coronavirus outbreak.,FALSE,Supported,Confirmed via research in multiple countries.,6/6/20,Sean Philip Cotter,https://www.bostonherald.com/2020/06/06/coronavirus-wastewater-analysis-lab-says-sewage-can-hold-keys-to-reopening/,https://web.archive.org/web/20210722092318/https://misbar.com/en/factcheck/2020/06/08/could-wastewater-be-used-to-track-covid-19,Boston Herald,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Are the authorities testing water as part of their campaign to detect Covid levels?', 'answers': [{'answer': 'Hundreds of U.S. utilities are now running such tests as part of studies, and the current decline in cases will give public health systems time to get effective wastewater surveillance programs in place. After all, Finland is testing water in 28 sites every week, the Netherlands in 37, and Germany in 20 per day, said microbiologist Gertjan Medema of KWR, a water research institute in the Netherlands. Wastewater surveillance can provide “an early warning tool to see if cases are rising again,” he said.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210727094808/https://www.statnews.com/2020/06/05/how-world-can-avoid-screwing-covid-19-response-again/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210727094808/https://www.statnews.com/2020/06/05/how-world-can-avoid-screwing-covid-19-response-again/'}]}, {'question': 'Has research been done in other countries ?', 'answers': [{'answer': 'Research in the Netherlands, France, Australia and elsewhere has found signs that the virus that causes COVID-19 can be detected in sewage, and many countries are beginning to sample wastewater to track the disease.', 'answer_type': 'Extractive', 'source_url': 'https://www.reuters.com/article/us-health-coronavirus-italy-sewage/italy-sewage-study-suggests-covid-19-was-there-in-december-2019-idUSKBN23Q1J9', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230221010621/https://www.reuters.com/article/us-health-coronavirus-italy-sewage/italy-sewage-study-suggests-covid-19-was-there-in-december-2019-idUSKBN23Q1J9'}]}]",https://web.archive.org/web/20230510143544/https://www.bostonherald.com/2020/06/06/coronavirus-wastewater-analysis-lab-says-sewage-can-hold-keys-to-reopening/
